,Date,State,UR,StateName
287,1976-06-01,PA,8.0,pennsylvania
288,1976-06-01,RI,8.0,rhode island
289,1976-06-01,SC,7.0,south carolina
290,1976-06-01,SD,3.0,south dakota
291,1976-06-01,TN,5.8,tennessee
292,1976-06-01,TX,5.8,texas
293,1976-06-01,UT,5.5,utah
294,1976-06-01,VT,8.5,vermont
295,1976-06-01,VA,5.8,virginia
296,1976-06-01,WA,8.8,washington
297,1976-06-01,WV,7.6,west virginia
298,1976-06-01,WI,5.4,wisconsin
299,1976-06-01,WY,4.0,wyoming
300,1976-07-01,AL,6.6,alabama
301,1976-07-01,AK,7.3,alaska
302,1976-07-01,AZ,9.4,arizona
303,1976-07-01,AR,6.9,arkansas
304,1976-07-01,CA,9.0,california
305,1976-07-01,CO,5.8,colorado
306,1976-07-01,CT,9.3,connecticut
307,1976-07-01,DE,9.2,delaware
308,1976-07-01,FL,8.8,florida
309,1976-07-01,GA,7.9,georgia
310,1976-07-01,HI,9.3,hawaii
311,1976-07-01,ID,5.6,idaho
312,1976-07-01,IL,6.6,illinois
313,1976-07-01,IN,5.7,indiana
314,1976-07-01,IA,3.9,iowa
315,1976-07-01,KS,4.2,kansas
316,1976-07-01,KY,5.4,kentucky
317,1976-07-01,LA,6.9,louisiana
318,1976-07-01,ME,8.5,maine
319,1976-07-01,MD,6.7,maryland
320,1976-07-01,MA,9.4,massachusetts
321,1976-07-01,MI,9.2,michigan
322,1976-07-01,MN,5.6,minnesota
323,1976-07-01,MS,6.2,mississippi
324,1976-07-01,MO,6.2,missouri
325,1976-07-01,MT,6.0,montana
326,1976-07-01,NE,3.1,nebraska
327,1976-07-01,NV,8.6,nevada
328,1976-07-01,NH,6.4,new hampshire
329,1976-07-01,NJ,10.4,new jersey
330,1976-07-01,NM,8.8,new mexico
331,1976-07-01,NY,10.2,new york
332,1976-07-01,NC,5.9,north carolina
333,1976-07-01,ND,3.8,north dakota
334,1976-07-01,OH,7.6,ohio
335,1976-07-01,OK,5.7,oklahoma
336,1976-07-01,OR,9.0,oregon
337,1976-07-01,PA,7.9,pennsylvania
